id,typesPoste,producteurs,nom,dateDebut,dateFin,altitude,latitude,longitude
48095006,4,['METEO-FRANCE'],MENDE (MENDE SERVICE HYDROLOGIQUE),1921-02-01 00:00:00,1934-12-31 00:00:00,[736],[44.51833333333333],[3.496666666666666]
48095010,4,['METEO-FRANCE'],MENDE (MENDE PEPINIERE),1907-01-01 00:00:00,1910-12-31 00:00:00,[730],[44.51833333333333],[3.496666666666666]
48096002,4,['ELECTRICITE DE FRANCE'],MEYRUEIS (MEYRUEIS COL DE CROIX DE FER),1873-01-01 00:00:00,1883-12-31 00:00:00,[1150],[44.178333333333335],[3.428333333333333]
48096003,4,['METEO-FRANCE'],MEYRUEIS (MEYRUEIS VALBELLE),1905-01-01 00:00:00,1913-12-31 00:00:00,[1000],[44.178333333333335],[3.428333333333333]
48096004,4,"[""DIRECTION REGIONALE DE L'ENVIRONNEMENT""]",MEYRUEIS (MEYRUEIS-FREPES),1973-04-01 00:00:00,2018-01-01 00:00:00,[1054],[44.206],[3.455166666666666]
48097001,4,['METEO-FRANCE'],MOISSAC-VALLEE-FRANCAISE,1969-01-01 00:00:00,1975-12-31 00:00:00,[650],[44.163333333333334],[3.7816666666666663]
48104002,4,"['ELECTRICITE DE FRANCE', 'AUTRES', 'METEO-FRANCE']",NASBINALS,1971-09-01 00:00:00,2019-01-21 00:00:00,[1284],[44.642],[2.9955]
48105001,2,['AUTRES'],LANGOGNE (NAUSSAC),1999-06-01 00:00:00,2020-03-01 00:00:00,[967],[44.748333333333335],[3.828333333333333]
48106001,4,['METEO-FRANCE'],NOALHAC,1880-01-01 00:00:00,1882-12-31 00:00:00,[795],[44.81166666666667],[3.105]
48112001,4,['ELECTRICITE DE FRANCE'],PIERREFICHE,1945-01-01 00:00:00,1966-01-31 00:00:00,[1080],[44.68333333333333],[3.733333333333333]
48115001,4,['METEO-FRANCE'],LE POMPIDOU (POMPIDOU),1959-01-01 00:00:00,1966-12-31 00:00:00,[750],[44.18333333333333],[3.666666666666666]
48116002,4,['ELECTRICITE DE FRANCE'],PONT DE MONTVERT - SUD MONT LOZERE (LE PONT-DE-MONTVERT CHAMPLONG),1905-01-01 00:00:00,1913-12-31 00:00:00,[1080],[44.361666666666665],[3.743333333333333]
48119001,4,['METEO-FRANCE'],PREVENCHERES,1884-01-01 00:00:00,1969-12-31 00:00:00,"[846, 847]","[44.52, 44.516666666666666]","[3.916666666666666, 3.9066666666666663]"
48126001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",LACHAMP-RIBENNES (RIBENNES),1954-06-01 00:00:00,2023-12-31 00:00:00,[1057],[44.647666666666666],[3.419666666666666]
48127001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",MONTS-DE-RANDON (RIEUTORT),1910-01-01 00:00:00,1970-12-31 00:00:00,"[1130, 1140, 1143]",[44.63333333333333],"[3.483333333333333, 3.478333333333333]"
48127002,4,['METEO-FRANCE'],MONTS-DE-RANDON (RIEUTORT-DE-RANDON),1884-01-01 00:00:00,1909-12-31 00:00:00,[1207],[44.63333333333333],[3.478333333333333]
48130001,4,['METEO-FRANCE'],ROUSSES (ROUSSES MASSEVAQUES),1883-01-01 00:00:00,1890-12-31 00:00:00,[1000],[44.20333333333333],[3.59]
48131001,4,['METEO-FRANCE'],LE ROZIER (LE ROZIER AGGLOMERATION),1884-01-01 00:00:00,1890-12-31 00:00:00,[405],[44.191],[3.207]
48132001,4,['ASSOCIATION OU COMMISSION METEOROLOGIQUE DEPARTEMENTALE'],SAINT-ALBAN-SUR-LIMAGNOLE (ST ALBAN SUR LIMAGNOLE),1989-03-01 00:00:00,2014-07-31 00:00:00,[960],[44.784666666666666],[3.387]
48136001,4,['METEO-FRANCE'],SAINT-ANDRE-DE-LANCIZE,1884-01-01 00:00:00,1890-12-31 00:00:00,[690],[44.25833333333333],[3.81]
48139001,4,['METEO-FRANCE'],SAINT BONNET-LAVAL (SAINT-BONNET-DE-MONTAUROUX),1884-01-01 00:00:00,1890-12-31 00:00:00,[746],[44.815],[3.718333333333333]
48140001,4,['ELECTRICITE DE FRANCE'],SAINT-CHELY-D'APCHER (ST-CHELY),1858-03-01 00:00:00,1988-03-31 00:00:00,"[1000, 987]","[44.803333333333335, 44.8]","[3.283333333333333, 3.276666666666667]"
48140002,4,['METEO-FRANCE'],SAINT-CHELY-D'APCHER (ST CHELY),1980-01-01 00:00:00,1982-12-31 00:00:00,[1010],[44.806666666666665],[3.3025]
48140003,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",SAINT-CHELY-D'APCHER (ST CHELY-D APCHER),1988-04-01 00:00:00,2021-01-01 00:00:00,[1032],[44.815333333333335],[3.268666666666667]
48141001,4,['METEO-FRANCE'],MAS-SAINT-CHELY (MAS-SAINT-CHELY CARNAC),1944-01-01 00:00:00,1948-11-30 00:00:00,[838],[44.286833333333334],[3.364833333333333]
48142001,1,['METEO-FRANCE'],PEYRE EN AUBRAC (STE COLOMBE DE PEYRE),2005-09-13 00:00:00,2016-12-06 00:00:00,[1122],[44.6505],[3.249333333333333]
48144001,4,['METEO-FRANCE'],SAINTE-CROIX-VALLEE-FRANCAISE,1969-01-01 00:00:00,1975-12-31 00:00:00,[630],[44.18],[3.7416666666666663]
48145001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",SAINT-DENIS-EN-MARGERIDE (ST-DENIS-EN-MARGERIDE),1947-01-01 00:00:00,2009-01-01 00:00:00,[1172],[44.736666666666665],[3.473333333333333]
48145002,3,['METEO-FRANCE'],SAINT-DENIS-EN-MARGERIDE (LES BOUVIERS),1998-10-01 00:00:00,2004-01-31 00:00:00,[1418],[44.74666666666667],[3.521666666666666]
48145003,4,['METEO-FRANCE'],SAINT-DENIS-EN-MARGERIDE,1883-01-01 00:00:00,1892-12-31 00:00:00,[1422],[44.735],[3.471666666666666]
48146002,4,"['AUTRES', 'METEO-FRANCE']",GORGES DU TARN CAUSSES (STE ENIMIE),1995-09-01 00:00:00,2017-11-30 00:00:00,[480],[44.36383333333333],[3.4125]
48147001,4,['METEO-FRANCE'],SAINT-ETIENNE-DU-VALDONNEZ (SAINT-ETIENNE-DU-VALDONNEZ-AGG),1907-01-01 00:00:00,1913-12-31 00:00:00,[1050],[44.455],[3.561666666666666]
48147002,4,['METEO-FRANCE'],SAINT-ETIENNE-DU-VALDONNEZ,1948-01-01 00:00:00,1949-12-31 00:00:00,[1042],[44.455],[3.563333333333333]
48148001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",SAINT-ETIENNE-VALLEE-FRANCAISE (ST-ETIENNE-V.F),1884-01-01 00:00:00,1990-12-31 00:00:00,"[265, 250]",[44.166666666666664],"[3.85, 3.84]"
48148002,4,['METEO-FRANCE'],SAINT-ETIENNE-VALLEE-FRANCAISE,1969-01-01 00:00:00,1975-12-31 00:00:00,[250],[44.166666666666664],[3.84]
48148003,4,['METEO-FRANCE'],SAINT-ETIENNE-VALLEE-FRANCAISE (ST-ETIENNE),1991-01-01 00:00:00,1997-11-30 00:00:00,[285],[44.18833333333333],[3.83]
48150001,4,['METEO-FRANCE'],SAINT-FLOUR-DE-MERCOIRE (SAINT-FLOUR-DE-MERCOIRE BOURG),1947-02-01 00:00:00,1950-01-31 00:00:00,[1050],[44.695],[3.825]
48150002,4,['METEO-FRANCE'],SAINT-FLOUR-DE-MERCOIRE (SAINT-FLOUR-DE-MERCOIRE BOURG),1921-01-01 00:00:00,1924-12-31 00:00:00,[1222],[44.695],[3.825]
48154001,2,"[""OFFICE NATIONAL DES FORETS (avec DEFENSE FORESTIERE CONTRE L'INCENDIE)""]",MASSEGROS CAUSSES GORGES (ST GEORGES DE L),1990-01-01 00:00:00,2005-09-15 00:00:00,[911],[44.36666666666667],[3.233333333333333]
48155001,4,['METEO-FRANCE'],SAINT-GERMAIN-DE-CALBERTE,1864-01-01 00:00:00,1886-12-31 00:00:00,[500],[44.21666666666667],[3.806666666666666]
48155002,4,['METEO-FRANCE'],SAINT-GERMAIN-DE-CALBERTE (SAINT-GERMAIN-DE-CALBERTE RMC),1969-01-01 00:00:00,1975-12-31 00:00:00,[520],[44.21666666666667],[3.806666666666666]
48160001,4,['BUREAU DE RECHERCHE GEOLOGIQUE ET MINIERE'],SAINT-JEAN-LA-FOUILLOUSE (ST-JEAN-LA-F),1973-11-01 00:00:00,1988-12-31 00:00:00,[1145],[44.71666666666667],[3.7]
48161001,4,['METEO-FRANCE'],SAINT-JUERY (SAINT-JUERY AGGLOMERATION),1884-01-01 00:00:00,1910-12-31 00:00:00,[936],[44.82666666666667],[3.086666666666666]
48165001,4,['METEO-FRANCE'],SAINT-LAURENT-DE-MURET (ST-LAURENT),1948-01-01 00:00:00,1970-12-31 00:00:00,[1150],[44.6],[3.216666666666667]
48167001,4,['METEO-FRANCE'],SAINT-LAURENT-DE-VEYRES (SAINT-LAURENT-DE-VEYRES ECOLE),1982-10-01 00:00:00,1993-03-31 00:00:00,[1040],[44.77166666666667],[3.131666666666667]
48169001,4,['METEO-FRANCE'],SAINT-LEGER-DU-MALZIEU,1873-01-01 00:00:00,1883-12-31 00:00:00,[870],[44.885],[3.306666666666666]
